"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\VS Code Project\Магазинчик\README.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 17
"d:\VS Code Project\Магазинчик\backend\catalog.js", "JavaScript", 0, 30, 0, 0, 0, 22, 3, 55
"d:\VS Code Project\Магазинчик\backend\items.js", "JavaScript", 0, 42, 0, 0, 0, 0, 5, 47
"d:\VS Code Project\Магазинчик\backend\login.js", "JavaScript", 0, 40, 0, 0, 0, 4, 5, 49
"d:\VS Code Project\Магазинчик\backend\misc.js", "JavaScript", 0, 60, 0, 0, 0, 0, 8, 68
"d:\VS Code Project\Магазинчик\backend\register.js", "JavaScript", 0, 29, 0, 0, 0, 0, 2, 31
"d:\VS Code Project\Магазинчик\backend\routes.js", "JavaScript", 0, 4, 0, 0, 0, 78, 1, 83
"d:\VS Code Project\Магазинчик\backend\server.js", "JavaScript", 0, 41, 0, 0, 0, 2, 26, 69
"d:\VS Code Project\Магазинчик\my-shop\README.md", "Markdown", 0, 0, 0, 53, 0, 0, 32, 85
"d:\VS Code Project\Магазинчик\my-shop\package-lock.json", "JSON", 18247, 0, 0, 0, 0, 0, 1, 18248
"d:\VS Code Project\Магазинчик\my-shop\package.json", "JSON", 47, 0, 0, 0, 0, 0, 1, 48
"d:\VS Code Project\Магазинчик\my-shop\public\index.html", "HTML", 0, 0, 0, 0, 13, 0, 1, 14
"d:\VS Code Project\Магазинчик\my-shop\src\App.js", "JavaScript", 0, 58, 0, 0, 0, 5, 11, 74
"d:\VS Code Project\Магазинчик\my-shop\src\Components\CatalogItems.js", "JavaScript", 0, 36, 0, 0, 0, 0, 2, 38
"d:\VS Code Project\Магазинчик\my-shop\src\Components\Filters.js", "JavaScript", 0, 36, 0, 0, 0, 0, 2, 38
"d:\VS Code Project\Магазинчик\my-shop\src\Components\Footer.js", "JavaScript", 0, 36, 0, 0, 0, 0, 2, 38
"d:\VS Code Project\Магазинчик\my-shop\src\Components\Header.js", "JavaScript", 0, 59, 0, 0, 0, 0, 2, 61
"d:\VS Code Project\Магазинчик\my-shop\src\Components\Item.js", "JavaScript", 0, 45, 0, 0, 0, 0, 4, 49
"d:\VS Code Project\Магазинчик\my-shop\src\Components\Items.js", "JavaScript", 0, 47, 0, 0, 0, 3, 10, 60
"d:\VS Code Project\Магазинчик\my-shop\src\Components\LoginForm.js", "JavaScript", 0, 68, 0, 0, 0, 1, 9, 78
"d:\VS Code Project\Магазинчик\my-shop\src\Components\RegistrationForm.js", "JavaScript", 0, 169, 0, 0, 0, 11, 18, 198
"d:\VS Code Project\Магазинчик\my-shop\src\Components\Search.js", "JavaScript", 0, 18, 0, 0, 0, 0, 2, 20
"d:\VS Code Project\Магазинчик\my-shop\src\Components\SwiperMy.js", "JavaScript", 0, 50, 0, 0, 0, 3, 3, 56
"d:\VS Code Project\Магазинчик\my-shop\src\Components\UserProfile.js", "JavaScript", 0, 6, 0, 0, 0, 0, 2, 8
"d:\VS Code Project\Магазинчик\my-shop\src\Page\About.js", "JavaScript", 0, 6, 0, 0, 0, 0, 2, 8
"d:\VS Code Project\Магазинчик\my-shop\src\Page\Cart.js", "JavaScript", 0, 8, 0, 0, 0, 0, 3, 11
"d:\VS Code Project\Магазинчик\my-shop\src\Page\Catalog.js", "JavaScript", 0, 47, 0, 0, 0, 3, 7, 57
"d:\VS Code Project\Магазинчик\my-shop\src\Page\Home.js", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 15
"d:\VS Code Project\Магазинчик\my-shop\src\Page\Product.js", "JavaScript", 0, 66, 0, 0, 0, 0, 2, 68
"d:\VS Code Project\Магазинчик\my-shop\src\Page\Profile.js", "JavaScript", 0, 44, 0, 0, 0, 3, 6, 53
"d:\VS Code Project\Магазинчик\my-shop\src\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"d:\VS Code Project\Магазинчик\my-shop\src\styles\app.css", "CSS", 0, 0, 11, 0, 0, 2, 3, 16
"d:\VS Code Project\Магазинчик\my-shop\src\styles\card.css", "CSS", 0, 0, 93, 0, 0, 2, 12, 107
"d:\VS Code Project\Магазинчик\my-shop\src\styles\footer.css", "CSS", 0, 0, 18, 0, 0, 0, 2, 20
"d:\VS Code Project\Магазинчик\my-shop\src\styles\header.css", "CSS", 0, 0, 22, 0, 0, 0, 5, 27
"d:\VS Code Project\Магазинчик\my-shop\src\styles\home.css", "CSS", 0, 0, 9, 0, 0, 0, 2, 11
"d:\VS Code Project\Магазинчик\my-shop\src\styles\index.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VS Code Project\Магазинчик\my-shop\src\styles\profile.css", "CSS", 0, 0, 9, 0, 0, 0, 1, 10
"d:\VS Code Project\Магазинчик\package-lock.json", "JSON", 1626, 0, 0, 0, 0, 0, 1, 1627
"d:\VS Code Project\Магазинчик\package.json", "JSON", 17, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 19937, 1069, 162, 70, 13, 139, 205, 21595